#received,RA,Decl
2009-08-12 15:41:10,128.55,-45.75
2009-08-12 16:08:34,128.55,-45.75
2009-08-12 16:19:35,50.673,-37.2093
2009-08-12 16:42:44,128.55,-45.75
2009-08-12 16:44:22,50.673,-37.2093
2009-08-12 17:11:43,276.563,-14.8484
2009-08-13 10:38:27,279.057,59.4251
2009-08-13 12:17:48,331.966,-53.7358
2009-08-13 12:24:55,331.966,-53.7358
2009-08-13 12:37:43,224.374,-35.6767
2009-08-13 13:14:03,50.673,-37.2093
2009-08-13 17:18:36,126.467,-22.51
2009-08-13 17:23:56,32.6536,-51.049
2009-08-13 17:33:01,12.8103,-6.81967
2009-08-13 17:38:38,19.6739,-21.6189
2009-08-13 17:41:29,26.2401,-27.5454
2009-08-13 17:46:53,31.2346,-17.0528
2009-08-13 17:53:18,37.3554,-36.706
2009-08-13 17:56:06,39.4811,28.7986
2009-08-13 17:58:23,39.6749,16.6242
2009-08-13 18:02:33,53.561,-40.1617
2009-08-13 18:06:33,57.488,-21.0927
2009-08-13 18:09:49,61.8307,-38.4389
2009-08-13 18:11:39,65.8029,-1.3167
2009-08-13 18:15:32,67.1619,-37.9359
2009-08-13 18:18:49,74.2591,-23.4273
2009-08-13 18:22:08,82.7353,13.5202
2009-08-13 18:25:42,103.574,45.2506
2009-08-13 21:18:17,112.578,-11.7015
2009-08-13 21:24:47,126.256,55.9106
2009-08-13 21:28:03,137.268,1.43586
2009-08-13 21:30:14,140.241,44.6886
2009-08-13 21:35:17,149.435,55.3936
2009-08-14 09:44:00,308.054,41.4567
2009-08-14 11:43:14,161.138,-57.6216
2009-08-14 11:47:40,213.339,-62.0904
2009-08-14 11:53:25,217.494,-59.1929
2009-08-14 13:15:14,128.836,-45.1764
2009-08-14 16:33:19,193.98,-5.82
2009-08-17 15:10:31,193.98,-5.82
2009-08-17 15:58:38,128.836,-45.1764
2009-08-19 11:22:51,128.55,-45.75
2009-08-19 11:46:01,50.673,-37.2093
2009-08-19 11:51:53,128.836,-45.1764
2009-08-19 15:03:13,161.138,-57.6216
2009-08-19 15:07:09,161.138,-57.6216
2009-08-19 15:38:51,213.339,-62.0904
2009-08-19 15:43:29,213.339,-62.0904
2009-08-19 15:52:38,213.339,-62.0904
2009-08-19 15:57:34,217.494,-59.1929
2009-08-19 16:00:26,50.673,-37.2093
2009-08-19 16:04:17,219.344,-59.9649
2009-08-19 16:22:00,219.344,-59.9649
2009-08-19 16:46:09,279.057,59.4251
2009-08-19 16:49:36,219.344,-59.9649
2009-08-19 17:17:01,1.779,73.055
2009-08-19 17:26:09,219.344,-59.9649
2009-08-19 17:31:48,219.344,-59.9649
2009-08-19 22:10:46,128.55,-45.75
2009-08-20 00:00:15,228.481,-59.1358
2009-08-20 00:01:44,228.481,-59.1358
2009-08-20 00:09:02,228.481,-59.1358
2009-08-20 00:09:24,228.481,-59.1358
2009-08-20 03:30:18,253.468,39.7602
2009-08-20 09:43:08,50.673,-37.2093
2009-08-20 11:02:42,98.3,-28.4
2009-08-20 11:07:38,50.673,-37.2093
2009-08-20 11:14:19,98.3,-28.4
2009-08-20 11:17:25,98.3,-28.4
2009-08-20 11:19:33,98.3,-28.4
2009-08-20 11:25:41,50.673,-37.2093
2009-08-20 11:27:10,50.673,-37.2093
2009-08-20 11:30:26,50.673,-37.2093
2009-08-20 11:33:03,50.673,-37.2093
2009-08-20 11:40:19,50.673,-37.2093
2009-08-20 11:48:37,50.673,-37.2093
2009-08-20 11:49:45,50.673,-37.2093
2009-08-20 11:59:47,50.673,-37.2093
2009-08-20 12:17:27,50.673,-37.2093
2009-08-20 12:19:38,50.673,-37.2093
2009-08-20 12:21:47,50.673,-37.2093
2009-08-20 12:38:17,50.673,-37.2093
2009-08-20 12:40:05,50.673,-37.2093
2009-08-20 12:51:41,50.673,-37.2093
2009-08-20 12:52:32,50.673,-37.2093
2009-08-20 12:59:18,50.673,-37.2093
2009-08-20 12:59:45,50.673,-37.2093
2009-08-20 13:00:13,50.673,-37.2093
2009-08-20 13:02:34,50.673,-37.2093
